ID	Name	Codepoint
0578	LEFT RIGHT ARROW	U+2194
0579	UP DOWN ARROW	U+2195
0580	UPWARDS BLACK ARROW	U+2B06
0581	DOWNWARDS BLACK ARROW	U+2B07
0582	BLACK RIGHTWARDS ARROW	U+27A1
0583	LEFTWARDS BLACK ARROW	U+2B05
0584	BLACK RIGHTPOINTING TRIANGLE	U+25B6
0585	BLACK LEFTPOINTING TRIANGLE	U+25C0
0586	BLACK RIGHTPOINTING DOUBLE TRIANGLE	U+23E9
0587	BLACK LEFTPOINTING DOUBLE TRIANGLE	U+23EA
0588	DOWNPOINTING SMALL RED TRIANGLE	U+1F53D
0589	UPPOINTING SMALL RED TRIANGLE	U+1F53C
0590	BLACK DOWNPOINTING DOUBLE TRIANGLE	U+23EC
0591	BLACK UPPOINTING DOUBLE TRIANGLE	U+23EB
0592	HEAVY EXCLAMATION MARK SYMBOL	U+2757
0593	EXCLAMATION QUESTION MARK	U+2049
0594	DOUBLE EXCLAMATION MARK	U+203C
0595	WAVY DASH	U+3030
0596	CURLY LOOP	U+27B0
0597	BLACK QUESTION MARK ORNAMENT	U+2753
0598	WHITE QUESTION MARK ORNAMENT	U+2754
0599	WHITE EXCLAMATION MARK ORNAMENT	U+2755
0600	HEAVY BLACK HEART	U+2764
0601	BEATING HEART	U+1F493
0602	BROKEN HEART	U+1F494
0603	TWO HEARTS	U+1F495
0604	SPARKLING HEART	U+1F496
0605	GROWING HEART	U+1F497
0606	HEART WITH ARROW	U+1F498
0607	BLUE HEART	U+1F499
0608	GREEN HEART	U+1F49A
0609	YELLOW HEART	U+1F49B
0610	PURPLE HEART	U+1F49C
0611	HEART WITH RIBBON	U+1F49D
0612	REVOLVING HEARTS	U+1F49E
0613	HEART DECORATION	U+1F49F
0614	BLACK HEART SUIT	U+2665
0615	BLACK SPADE SUIT	U+2660
0616	BLACK DIAMOND SUIT	U+2666
0617	BLACK CLUB SUIT	U+2663
0618	SMOKING SYMBOL	U+1F6AC
0619	NO SMOKING SYMBOL	U+1F6AD
0620	WHEELCHAIR SYMBOL	U+267F
0621	SQUARED FREE	U+1F193
0622	TRIANGULAR FLAG ON POST	U+1F6A9
0623	WARNING SIGN	U+26A0
0624	SQUARED KATAKANA KOKO	U+1F201
